Path: [3, 5, 6] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[3, 5, 6]])
Path: [6, 5, 3] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[6, 5, 3]])
Path: [3, 5, 7] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[3, 5, 7]])
Path: [7, 5, 3] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[7, 5, 3]])
Path: [3, 1, 12] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[3, 1, 12]])
Path: [12, 1, 3] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[12, 1, 3]])
Path: [4, 6, 5] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[4, 6, 5]])
Path: [5, 6, 4] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[5, 6, 4]])
Path: [4, 6, 8] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[4, 6, 8]])
Path: [8, 6, 4] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[8, 6, 4]])
Path: [5, 6, 8] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[5, 6, 8]])
Path: [8, 6, 5] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[8, 6, 5]])
Path: [5, 7, 10] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[5, 7, 10]])
Path: [10, 7, 5] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[10, 7, 5]])
Path: [5, 7, 11] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[5, 7, 11]])
Path: [11, 7, 5] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[11, 7, 5]])
Path: [5, 7, 12] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[5, 7, 12]])
Path: [12, 7, 5] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[12, 7, 5]])
Path: [6, 5, 7] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[6, 5, 7]])
Path: [7, 5, 6] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[7, 5, 6]])
Path: [6, 8, 9] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[6, 8, 9]])
Path: [9, 8, 6] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[9, 8, 6]])
Path: [6, 8, 10] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[6, 8, 10]])
Path: [10, 8, 6] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[10, 8, 6]])
Path: [7, 10, 8] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[7, 10, 8]])
Path: [8, 10, 7] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[8, 10, 7]])
Path: [7, 10, 9] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[7, 10, 9]])
Path: [9, 10, 7] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[9, 10, 7]])
Path: [8, 10, 11] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[8, 10, 11]])
Path: [11, 10, 8] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[11, 10, 8]])
